"Item","Description","Quantity On Hand","Lot Number"
"XMSPRB","Black Spruce",0,
"XMSRH","Sandalwood, Royal Hawaiian",0,
"XMTANG","Tangerine",1474.6,"EDD247TANG"
"XMTANS","Blue Tansy",236.57,"LIB017TANS"
"XMTANSO","Blue Tansy (Organic)",2281.95,"SAB217TANS"
"XMTL","Thyme",0,
"XMTT","Tea Tree",3798.88,"JEJ187TT"
"XMTUR","Turmeric",5260.63,"FLG137TUR"
"XMV12NO","Vanilla CO2, Non Organic",0,
"XMVET","Vetiver",0,
"XMVL","Lemon Verbena",0,
"XMVR","Valerian Root",467.38,"PEG067VR"
"XMWIN","Wintergreen",0,
"XMYAR","Blue Yarrow",0,
"XMYYC","Ylang Ylang Complete",2162.16,"SAG177YYC"
"XMYYE","Ylang Ylang Extra",986.17,"PEC067YYE"
