"Item","Description","Quantity On Hand","Lot Number"
"XMANG","Angelica",0,
"XMARG","Argan nut Oil",10500,"JEJ187ARG"
"XMARN","Arnica CO2",0,
"XMAVO","Avocado Oil",18000,"JEH317AVO"
"XMBC","Copaiba Balsam",2522.22,"LIJ187BC"
"XMBER","Bergamot",0,
"XMBERO","Organic Bergamot",0,
"XMBIR","Sweet Birch",1793.72,"PEI057BIR"
"XMBL","Bay Laurel",2304.94,"SAG177BL"
"XMBMC","Basil",975.33,"MAE257BMC"
"XMBP","Peru Balsam",412.36,"LIJ187BP"
"XMBS","Sweet Basil",2234.64,"SAG177BS"
"XMCA","Cacao Absolute",0,
"XMCAJ","Cajeput",0,
"XMCAN","Cannabis/Hemp essential oil",0,
"XMCARD","Cardamom CO2",0,
"XMCARS","Carrot Seed",0,
"XMCB","Cinnamon Bark CO2, Burmannii",2052.67,"FLH256CB"
"XMCBD","CBD",146500,"HGJ057CBD"
"XMCC","Catnip",946.48,"PEF277CC"
"XMCH","Himalayan Cedarwood",1018.53,"PEG067CH"
"XMCHGC","German Chamomile CO2",1898.46,"FLH256CHGC"
"XMCHGS","German Chamomile SD",401.81,"LIG267CHGS"
"XMCIT","Citronella",0,
"XMCLC","Clove Bud CO2",4745.05,"FLG137CLC"
"XMCLS","Wild Clove Bud SD",0,
"XMCM","Cinnamon Bark SD, Madagascar",2291.77,"SAG177CM"
"XMCOR","Coriander CO2",888.77,"FLH256COR"
"XMCRN","Roman Chamomile",0,
"XMCSU","Clary Sage",0,
"XMCT","Texas Cedarwood",0,
"XMCW","Wild Cedarwood",1926.91,"SAD137CW"
"XMCWA","Cedarwood, Atlas, Special Aged",1500,"AGEJ056CW"
"XMCYP","Cypress",0,
"XMELE","Elemi",60,
"XMEUC","Eucalyptus Citriodora",0,
"XMEUDO","Eucalyptus Dives, Organic",0,
"XMEUR","Eucalyptus Radiata (narrow leaf)",0,
"XMEVE","Evening Primrose Oil",18000,"JEJ187EVE"
"XMFCC","Frankincense Carteri CO2",0,
"XMFIRD","Douglas Fir",2197.81,"SAC096FIRD"
"XMFSA","Frankincense Sacra",0,
"XMFSE","Frankincense Serrata",5419.56,"FLG137FSE"
"XMGAL","Galbanum",0,
"XMGR","Rose Geranium",0,
"XMGSA","Geranium S.A.",0,
"XMGSD","Ginger SD",0,
"XMHC","Helichrysum, Corsican",33333.34,"TRJ057HC"
"XMHCA","Helichrysum, Corsican, Special Aged",1500,"AGEJ056HC"
"XMJBS","Juniper Berry SD",60,"SAC186JBS"
"XMJG","Jasmine Absolute (Grandiflorum)",0,
"XMJOJ","Jojoba Oil",0,"JEH317JOJ"
"XMJS","Jasmine Absolute (Sambac)",0,
"XMLB","Bulgarian Lavender",0,
"XMLC","Lemongrass",3863.64,"JEJ187LC"
"XMLCO","Lavender Flower CO2",0,
"XMLEM","Lemon, org",0,
"XMLHI","Highland Lavender",0,
"XMLMC","Litsea 'May Chang'",0,
"XMLS","Spike Lavender",0,
"XMLW","Wild Lavender",0,
"XMMAR","Sweet Marjoram",0,
"XMMCT","Coconut, Fractionated",18000,"JEJ187MCT"
"XMMYR","Wild Myrrh",4252.67,"FLG137MYR"
"XMMYRL","Lemon Myrtle",0,
"XMMYRT","Wild Myrtle",0,
"XMNER","Neroli",284.39,"SAK046NER"
"XMNUT","Nutmeg",0,
"XMOO","Sweet Orange, Org.",0,
"XMOT","Oregano",0,
"XMOW","Wild Sweet Orange",240,"PEK185OW"
"XMPALM","Palmarosa (India)",2876.19,"UNH125PALM"
"XMPALMN","Palmarosa (Nepal)",0,
"XMPALO","Palo Santo",0,
"XMPD","Dark Patchouli",63.39,"SAF137PD"
"XMPEF","Patchouli Ex. Fine",986.32,"EDC166PEF"
"XMPEP","Black Pepper",0,
"XMPETM","Mandarin Petitgrain",0,
"XMPI","Peppermint, Indian",3777.78,"JEJ187PI"
"XMPLA","Plai",0,
"XMPN","Pine Needle",0,
"XMRAB","Rose Absolute, Bulgaria",0,
"XMRAM","Rose Absolute, Morocco",0,
"XMRAN","Rosemary Antioxidant",2100,"FLC147RAN"
"XMRN","Wild Rosemary",240,"SAJ106RN"
"XMROB","Rose Otto, Bulgarian",0.5,"ROJ176ROB"
"XMROSA","Rosalina",968.36,"PEA317ROSA"
"XMROT","Rose Otto, Turkey",0,
"XMRV","Rosemary Verbenone",2197.8,"PEI057RV"
"XMRW","Rosewood",0,
"XMSAG","Sage",2287.51,"PEE107SAG"
"XMSAU","Wild Australian Sandalwood",997.19,"LIJ187SAU"
"XMSB","Sea Buckthorn",3343.59,"FLH256SB"
"XMSHE","Shea Butter",20000,"JEJ187SHE"
"XMSI","Sandalwood, Indian",0,
"XMSNC","Sandalwood, New Caledonian",0,
"XMSPE","Spearmint",4791.68,"PEJ066SPE"
"XMSPR","Spruce",0,
